0	inf
1	4.40496e+007
2	1.10124e+007
3	4.8944e+006
4	2.7531e+006
5	1.76198e+006
6	1.2236e+006
7	898971
8	688275
9	543822
10	440496
11	364046
12	305900
13	260649
14	224743
15	195776
16	172069
17	152421
18	135956
19	122022
20	110125
21	99886.7
22	91012.7
23	83270.8
24	76476.3
25	70480.8
26	65163.7
27	60426.4
28	56187.5
29	52379.6
30	48946.1
31	45839.5
32	43019.6
33	40452.2
34	38107.9
35	35961.8
36	33992
37	32179.7
38	30508.7
39	28964.6
40	27534.8
41	26208.4
42	24975.6
43	23827.9
44	22757.5
45	21757.7
46	20822.5
47	19946.3
48	19124.3
49	18352.1
50	17625.8
51	16941.9
52	16297
53	15688.3
54	15113.2
55	14569.1
56	14054
57	13565.7
58	13102.5
59	12662.7
60	12244.7
61	11847
62	11468.6
63	11108
64	10764.1
65	10436.1
66	10122.9
67	9823.58
68	9537.41
69	9263.62
70	9001.5
71	8750.39
72	8509.69
73	8278.83
74	8057.29
75	7844.57
76	7640.21
77	7443.77
78	7254.87
79	7073.11
80	6898.14
81	6729.63
82	6567.27
83	6410.76
84	6259.83
85	6114.21
86	5973.66
87	5837.94
88	5706.85
89	5580.17
90	5457.71
91	5339.28
92	5224.71
93	5113.83
94	5006.5
95	4902.55
96	4801.86
97	4704.28
98	4609.69
99	4517.98
100	4429.02
101	4342.7
102	4258.94
103	4177.62
104	4098.65
105	4021.95
106	3947.43
107	3875.01
108	3804.6
109	3736.15
110	3669.57
111	3604.81
112	3541.79
113	3480.45
114	3420.74
115	3362.6
116	3305.98
117	3250.82
118	3197.07
119	3144.7
120	3093.64
121	3043.87
122	2995.34
123	2948
124	2901.82
125	2856.77
126	2812.8
127	2769.88
128	2727.99
129	2687.09
130	2647.14
131	2608.13
132	2570.02
133	2532.78
134	2496.4
135	2460.84
136	2426.07
137	2392.09
138	2358.86
139	2326.37
140	2294.58
141	2263.5
142	2233.08
143	2203.32
144	2174.2
145	2145.69
146	2117.79
147	2090.47
148	2063.73
149	2037.54
150	2011.89
151	1986.77
152	1962.17
153	1938.06
154	1914.44
155	1891.29
156	1868.61
157	1846.38
158	1824.59
159	1803.22
160	1782.28
161	1761.74
162	1741.61
163	1721.86
164	1702.49
165	1683.49
166	1664.85
167	1646.56
168	1628.62
169	1611.02
170	1593.74
171	1576.79
172	1560.15
173	1543.81
174	1527.78
175	1512.04
176	1496.58
177	1481.41
178	1466.51
179	1451.88
180	1437.51
181	1423.4
182	1409.54
183	1395.92
184	1382.54
185	1369.4
186	1356.49
187	1343.81
188	1331.35
189	1319.1
190	1307.07
191	1295.24
192	1283.62
193	1272.19
194	1260.96
195	1249.93
196	1239.08
197	1228.41
198	1217.92
199	1207.62
200	1197.48
201	1187.51
202	1177.72
203	1168.08
204	1158.61
205	1149.29
206	1140.13
207	1131.11
208	1122.25
209	1113.54
210	1104.96
211	1096.53
212	1088.24
213	1080.08
214	1072.05
215	1064.16
216	1056.39
217	1048.75
218	1041.24
219	1033.84
220	1026.57
221	1019.41
222	1012.37
223	1005.44
224	998.626
225	991.92
226	985.322
227	978.83
228	972.443
229	966.158
230	959.974
231	953.889
232	947.902
233	942.011
234	936.215
235	930.511
236	924.899
237	919.377
238	913.943
239	908.597
240	903.337
241	898.161
242	893.068
243	888.057
244	883.127
245	878.276
246	873.503
247	868.807
248	864.187
249	859.642
250	855.17
251	850.771
252	846.443
253	842.185
254	837.997
255	833.877
256	829.825
257	825.838
258	821.918
259	818.061
260	814.268
261	810.538
262	806.87
263	803.262
264	799.715
265	796.227
266	792.797
267	789.425
268	786.109
269	782.85
270	779.646
271	776.497
272	773.401
273	770.358
274	767.368
275	764.43
276	761.542
277	758.705
